context,model_id,alpha,inner_MAE_kg_mu,training_years
SENS-HM25_LOYO_outer_2023,Y-W3P+PHENO,10,446.6952237,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W3P+PHENO,100,483.7717703,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W3P+PHENO,1000,500.5420837,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W3P+PHENO,0.1,478.0274036,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W3P+PHENO,1,422.8573419,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W3P+PHENO,10,387.8373587,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W3P+PHENO,100,380.9490831,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W3P+PHENO,1000,382.1384511,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2026,Y-W3P+PHENO,0.1,788.7006813,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W3P+PHENO,1,641.7240567,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W3P+PHENO,10,572.9854899,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W3P+PHENO,100,511.6161345,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W3P+PHENO,1000,495.5491698,2022;2023;2024;2025
SENS-HM26_LOYO_outer_2022,Y-W1C,0.1,350.4327414,2023;2024;2025;2026
SENS-HM26_LOYO_outer_2022,Y-W1C,1,358.3390828,2023;2024;2025;2026
SENS-HM26_LOYO_outer_2022,Y-W1C,10,372.006806,2023;2024;2025;2026
SENS-HM26_LOYO_outer_2022,Y-W1C,100,334.5752885,2023;2024;2025;2026
SENS-HM26_LOYO_outer_2022,Y-W1C,1000,350.3967455,2023;2024;2025;2026
SENS-HM26_LOYO_outer_2023,Y-W1C,0.1,660.0934793,2022;2024;2025;2026
SENS-HM26_LOYO_outer_2023,Y-W1C,1,478.9253972,2022;2024;2025;2026
